game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops II Zombies,,Farm,789x5q8w=81wgw5q4; wl3drko8=q5v99y2l; 9l79x4n1=5q84kgrl,Xbox 360,18m 36.380s,https://www.youtube.com/watch?v=eBGwZyIxh2A,,co-op,2017-04-19,2,Gardenia,ZypherTheSlowy,,,http://www.speedrun.com/bo2zombies/run/zq6kxwry,verified
Call of Duty: Black Ops II Zombies,,Town,789x5q8w=81wgw5q4; wl3drko8=q5v99y2l; jlz2ryl2=21d6k23q,Xbox 360,18m 26.780s,https://www.youtube.com/watch?v=RJd4G5BN1UE,,co-op,2017-04-17,2,Gardenia,ZypherTheSlowy,,,http://www.speedrun.com/bo2zombies/run/zxv9p15y,verified
Call of Duty: Black Ops III Zombies,,Shadows of Evil,0nwkydkn=0q5g4g2l; 2lg396np=0q56pm1p; wlewprl6=5q8ppgld,Xbox One,43m 16.000s,https://www.youtube.com/watch?v=WAbB6MC-J60,,co-op,2020-06-02,2,ZypherTheSlowy,Gardenia,,,http://www.speedrun.com/bo3zombies/run/zx2lj68m,verified
Call of Duty: Black Ops III Zombies,,Shadows of Evil,0nwkydkn=0q5g4g2l; 2lg396np=0q56pm1p; wlewprl6=jq6yg731,Xbox One,2m 43.420s,https://www.youtube.com/watch?v=dXI78jCYf90,,co-op,2020-05-22,2,ZypherTheSlowy,Gardenia,,,http://www.speedrun.com/bo3zombies/run/yv61dn4z,verified
Call of Duty: Black Ops III Zombies,,Der Eisendrache,wl33v49l=21g2928l; 2lg396np=0q56pm1p; 38dw04n0=81wer8o1,Xbox One,2m 24.590s,https://www.youtube.com/watch?v=EaZXUvQhNeY,,co-op,2020-05-22,2,ZypherTheSlowy,Gardenia,,,http://www.speedrun.com/bo3zombies/run/yw8q9wpy,verified
Call of Duty: Black Ops III Zombies,,Zetsubou No Shima,wlex34k8=21d3635q; 2lg396np=0q56pm1p; p85pd5lg=zqom2np1,Xbox One,2m 27.010s,https://www.youtube.com/watch?v=RJf9sMPzT1Q,,co-op,2020-05-22,2,ZypherTheSlowy,Gardenia,,,http://www.speedrun.com/bo3zombies/run/z15revgy,verified
Call of Duty: Black Ops III Zombies,,Revelations,rn14k6kn=jq6zvzjl; 2lg396np=0q56pm1p; gnx65jnv=rqv6zd7l,Xbox One,2m 35.000s,https://www.youtube.com/watch?v=Pieh9Mc8qUE,,co-op,2020-05-22,2,ZypherTheSlowy,Gardenia,,,http://www.speedrun.com/bo3zombies/run/z5jrqlgm,verified
Call of Duty: Black Ops III Zombies,,The Giant,2lggkx3l=81pded81; 2lg396np=0q56pm1p; 6njz75l4=5lm8wnjq,Xbox One,2m 37.540s,https://www.youtube.com/watch?v=N5aDsYvw_v4,,co-op,2020-05-22,2,ZypherTheSlowy,Gardenia,,,http://www.speedrun.com/bo3zombies/run/zqw1l25z,verified
Call of Duty: Black Ops III Zombies,,The Giant,2lggkx3l=xqkmomkl; 2lg396np=0q56pm1p; 6njz75l4=5q82d8rq,Xbox One,13m 50.013s,https://www.youtube.com/watch?v=dy6muAHADsA,,co-op,2020-05-22,2,ZypherTheSlowy,Gardenia,,,http://www.speedrun.com/bo3zombies/run/mk3g6r1z,verified
Call of Duty: Black Ops III Zombies,,Zetsubou No Shima,wlex34k8=5q8d4d3l; 2lg396np=0q56pm1p; p85pd5lg=zqom2np1,Xbox One,2m 14.530s,https://www.youtube.com/watch?v=HK7sXAjxPso,,co-op,2020-05-22,2,ZypherTheSlowy,Gardenia,,,http://www.speedrun.com/bo3zombies/run/z05rg2em,verified
Call of Duty: Black Ops III Zombies,,Gorod Krovi,68kdwxyl=mlnzezjl; 2lg396np=0q56pm1p; ylqx7m8r=013w4rdq,Xbox One,2m 43.160s,https://www.youtube.com/watch?v=UDTSg4aOprw,,co-op,2020-05-22,2,ZypherTheSlowy,Gardenia,,,http://www.speedrun.com/bo3zombies/run/y909rgky,verified
Call of Duty: Black Ops III Zombies,,Gorod Krovi,68kdwxyl=810w6w2q; 2lg396np=4lxz9212; ylqx7m8r=013w4rdq,Xbox One,2m 20.660s,https://www.youtube.com/watch?v=u5yFRZChNR0,,co-op,2018-07-16,3,ZypherTheSlowy,jkunderdog,Gardenia,,http://www.speedrun.com/bo3zombies/run/m7pqn19m,verified
Call of Duty: Black Ops III Zombies,,Der Eisendrache,wl33v49l=jqzxgx81; 2lg396np=4lxz9212; 38dw04n0=81wer8o1,Xbox One,2m 11.410s,https://www.youtube.com/watch?v=2CznOhejga4&t=12s,,co-op,2018-07-15,3,jkunderdog,ZypherTheSlowy,Gardenia,,http://www.speedrun.com/bo3zombies/run/z517pdgm,verified
Call of Duty: Black Ops III Zombies,,The Giant,2lggkx3l=xqkmomkl; 2lg396np=0q56pm1p; 6njz75l4=5lm8wnjq,Xbox One,2m 59.290s,https://www.twitch.tv/videos/168901037,,co-op,2017-08-22,2,Gardenia,ZypherTheSlowy,,,http://www.speedrun.com/bo3zombies/run/zq6191xy,verified
Call of Duty: Black Ops III Zombies,,Zetsubou No Shima,wlex34k8=5q8d4d3l; 2lg396np=0q56pm1p; p85pd5lg=zqov8p1y,Xbox One,4m 47.090s,https://www.twitch.tv/videos/154814904,,co-op,2017-06-27,2,Gardenia,ZypherTheSlowy,,,http://www.speedrun.com/bo3zombies/run/ydq5woqm,verified
