game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call Of Duty Zombies Category Extension,BO3,All Maps,68kmpxzl=zqom2g41; kn0j593l=z19mgeyl; r8r1y4wn=xqkjk2kl,PC,3h 1m 30.350s,https://www.twitch.tv/videos/1439121447,,solo,2022-03-28,1,Wolfslayer61,,,,http://www.speedrun.com/call_of_duty_zombies_category_extension/run/zn7dkg3m,verified
Call of Duty: Black Ops III Zombies,,Moon,gnxrqmpn=mlnzekjl; 2lg396np=4lxz9212; 2lg7k6lp=81p46ng1,PC,3m 11.000s,https://www.youtube.com/watch?v=_6Y-lUXoQTs&t=738s&ab_channel=DanielJohnGaming,,co-op,2023-02-17,3,DanielJohnGaming,Wolfslayer61,TheHondo_,,http://www.speedrun.com/bo3zombies/run/m7206r5z,verified
Call of Duty: Black Ops III Zombies,,Shangri-La,ylqk4dzl=21d36o5q; 2lg396np=4lxz9212; 789ye5nw=p12o4z7l,PC,2m 14.290s,https://www.youtube.com/watch?v=_6Y-lUXoQTs&t=738s&ab_channel=DanielJohnGaming,,co-op,2023-02-17,3,DanielJohnGaming,Wolfslayer61,TheHondo_,,http://www.speedrun.com/bo3zombies/run/y968v42y,verified
Call of Duty: Black Ops III Zombies,,Ascension,e8mmgxv8=21g29o8l; 2lg396np=4lxz9212; ylp4kjlg=z195dr0q,PC,2m 10.000s,https://www.youtube.com/watch?v=_6Y-lUXoQTs&t=738s&ab_channel=DanielJohnGaming,,co-op,2023-02-17,3,DanielJohnGaming,Wolfslayer61,TheHondo_,,http://www.speedrun.com/bo3zombies/run/yln6782z,verified
Call of Duty: Black Ops III Zombies,,Kino Der Toten,5ly7ydkl=81pde681; 2lg396np=4lxz9212; jlzz6xl2=814k4d0l,PC,2m 9.640s,https://www.youtube.com/watch?v=_6Y-lUXoQTs&t=738s&ab_channel=DanielJohnGaming,,co-op,2023-02-17,3,DanielJohnGaming,Wolfslayer61,TheHondo_,,http://www.speedrun.com/bo3zombies/run/y80687wm,rejected
Call of Duty: Black Ops III Zombies,,Shi No Numa,r8ro6x28=814794v1; 2lg396np=4lxz9212; onvmywnm=4lx0d42l,PC,2m 11.000s,https://www.youtube.com/watch?v=_6Y-lUXoQTs&t=738s&ab_channel=DanielJohnGaming,,co-op,2023-02-17,3,DanielJohnGaming,Wolfslayer61,TheHondo_,,http://www.speedrun.com/bo3zombies/run/zqej7l9z,verified
Call of Duty: Black Ops III Zombies,,Verruckt,38djgk18=5lemnvk1; 2lg396np=4lxz9212; ql659jn9=jqzv9eml,PC,2m 17.000s,https://www.youtube.com/watch?v=_6Y-lUXoQTs&t=738s&ab_channel=DanielJohnGaming,,co-op,2023-02-17,3,DanielJohnGaming,Wolfslayer61,TheHondo_,,http://www.speedrun.com/bo3zombies/run/z5ep2qdz,verified
Call of Duty: Black Ops III Zombies,,Nacht Der Untoten,p853w00n=zqorj2xq; 2lg396np=4lxz9212; 2lg7e6lp=21ge5dml,PC,2m 51.000s,https://www.youtube.com/watch?v=_6Y-lUXoQTs&t=738s&ab_channel=DanielJohnGaming,,co-op,2023-02-17,3,TheHondo_,Wolfslayer61,DanielJohnGaming,,http://www.speedrun.com/bo3zombies/run/zg2ep00y,rejected
Call of Duty: Black Ops III Zombies,,Revelations,rn14k6kn=jq6zvzjl; 2lg396np=4lxz9212; gnx65jnv=rqv6zd7l,PC,2m 13.000s,https://www.youtube.com/watch?v=_6Y-lUXoQTs&t=738s&ab_channel=DanielJohnGaming,,co-op,2023-02-17,3,DanielJohnGaming,Wolfslayer61,TheHondo_,,http://www.speedrun.com/bo3zombies/run/y6o204qy,verified
Call of Duty: Black Ops III Zombies,,Gorod Krovi,68kdwxyl=mlnzezjl; 2lg396np=4lxz9212; ylqx7m8r=013w4rdq,PC,2m 19.000s,https://www.youtube.com/watch?v=_6Y-lUXoQTs&t=738s&ab_channel=DanielJohnGaming,,co-op,2023-02-17,3,DanielJohnGaming,Wolfslayer61,TheHondo_,,http://www.speedrun.com/bo3zombies/run/y6o2040y,verified
Call of Duty: Black Ops III Zombies,,Der Eisendrache,wl33v49l=21g2928l; 2lg396np=4lxz9212; 38dw04n0=81wer8o1,PC,2m 11.000s,https://www.speedrun.com/bo3zombies/run/new#Der_Eisendrache,,co-op,2023-02-17,3,DanielJohnGaming,Wolfslayer61,TheHondo_,,http://www.speedrun.com/bo3zombies/run/y2jgp47z,rejected
Call of Duty: Black Ops III Zombies,,Shadows of Evil,0nwkydkn=0q5g4g2l; 2lg396np=4lxz9212; wlewprl6=21dv3g31,PC,14m 11.300s,https://youtu.be/ZxeXSZoM9I0,,co-op,2023-02-12,3,Wolfslayer61,TheHondo_,DanielJohnGaming,,http://www.speedrun.com/bo3zombies/run/mkvvqkvy,verified
Call of Duty: Black Ops III Zombies,,Shadows of Evil,0nwkydkn=0q5g4g2l; 2lg396np=0q56pm1p; wlewprl6=21dv3g31,PC,13m 28.280s,https://www.twitch.tv/videos/1736711789,,co-op,2023-02-12,2,Wolfslayer61,TheHondo_,,,http://www.speedrun.com/bo3zombies/run/yoll0edy,verified
Call of Duty: Black Ops III Zombies,,The Giant,2lggkx3l=81pded81; 2lg396np=4lxz9212; 6njz75l4=5lm8wnjq,PC,2m 26.010s,https://www.twitch.tv/videos/1736716386,,co-op,2023-02-12,3,Wolfslayer61,TheHondo_,DanielJohnGaming,,http://www.speedrun.com/bo3zombies/run/y966jeky,verified
Call of Duty: Black Ops III Zombies,,Shadows of Evil,0nwkydkn=0q5g4g2l; 2lg396np=4lxz9212; wlewprl6=jq6yg731,PC,2m 58.900s,https://www.twitch.tv/videos/1736721855,,co-op,2023-02-12,3,Wolfslayer61,TheHondo_,DanielJohnGaming,,http://www.speedrun.com/bo3zombies/run/zxnnq05m,verified
Call of Duty: Black Ops III Zombies,,Zetsubou No Shima,wlex34k8=21d3635q; 2lg396np=4lxz9212; p85pd5lg=zqom2np1,PC,2m 21.810s,https://www.twitch.tv/videos/1736718270,,co-op,2023-02-12,3,Wolfslayer61,TheHondo_,DanielJohnGaming,,http://www.speedrun.com/bo3zombies/run/z5ee8wnz,verified
Call of Duty: Black Ops III Zombies,,Gorod Krovi,68kdwxyl=4qyj7j2q; 2lg396np=0q56pm1p; ylqx7m8r=8100wjj1,PC,15m 27.230s,https://www.twitch.tv/videos/1665449056,,co-op,2022-11-28,2,Wolfslayer61,WelcomeTwoHeck,,,http://www.speedrun.com/bo3zombies/run/m7213d4z,verified
Call of Duty: Black Ops III Zombies,,Gorod Krovi,68kdwxyl=4qyj7j2q; 2lg396np=0q56pm1p; ylqx7m8r=013w4rdq,PC,2m 58.750s,https://www.twitch.tv/videos/1665449056,,co-op,2022-11-28,2,Wolfslayer61,WelcomeTwoHeck,,,http://www.speedrun.com/bo3zombies/run/y96ok9ey,verified
Call of Duty: Black Ops III Zombies,,Nacht Der Untoten,p853w00n=81w57rv1; 2lg396np=0q56pm1p; 2lg7e6lp=jq6yzrn1,PC,19m 10.330s,https://www.twitch.tv/videos/1665433126,,co-op,2022-11-28,2,Wolfslayer61,WelcomeTwoHeck,,,http://www.speedrun.com/bo3zombies/run/yolvo70y,verified
Call of Duty: Black Ops III Zombies,,Shangri-La,ylqk4dzl=klryx6mq; 2lg396np=0q56pm1p; 789ye5nw=p12o4z7l,PC,2m 53.010s,https://www.twitch.tv/videos/1664831197,,co-op,2022-11-28,2,Wolfslayer61,WelcomeTwoHeck,,,http://www.speedrun.com/bo3zombies/run/yln3lqnz,verified
Call of Duty: Black Ops III Zombies,,Origins,dlo3exdl=9qjx2e3l; 2lg396np=0q56pm1p; ylp4gjlg=0q5xgzr1,PC,13m 54.650s,https://www.twitch.tv/videos/1664828031,,co-op,2022-11-28,2,Wolfslayer61,WelcomeTwoHeck,,,http://www.speedrun.com/bo3zombies/run/y803kddm,verified
Call of Duty: Black Ops III Zombies,,Shadows of Evil,0nwkydkn=z198x88q; 2lg396np=0q56pm1p; wlewprl6=21dv3g31,PC,15m 20.500s,https://www.twitch.tv/videos/1664825395,,co-op,2022-11-28,2,Wolfslayer61,WelcomeTwoHeck,,,http://www.speedrun.com/bo3zombies/run/m721384z,verified
Call of Duty: Black Ops III Zombies,,Der Eisendrache,wl33v49l=gq7r2rdl; 2lg396np=0q56pm1p; 38dw04n0=5lm3y41v,PC,41m 27.380s,https://www.twitch.tv/videos/1664813127,,co-op,2022-11-28,2,Wolfslayer61,WelcomeTwoHeck,,,http://www.speedrun.com/bo3zombies/run/ydg829vy,verified
Call of Duty: Black Ops III Zombies,,Der Eisendrache,wl33v49l=gq7r2rdl; 2lg396np=0q56pm1p; 38dw04n0=4qy5jo31,PC,19m 54.660s,https://www.twitch.tv/videos/1664813127,,co-op,2022-11-28,2,Wolfslayer61,WelcomeTwoHeck,,,http://www.speedrun.com/bo3zombies/run/zg238xey,verified
Call of Duty: Black Ops III Zombies,,Moon,gnxrqmpn=mlnzekjl; 2lg396np=0q56pm1p; 2lg7k6lp=gq7282n1,PC,23m 3.650s,https://www.youtube.com/watch?v=IOwQHsOJlPc,,co-op,2022-11-28,2,WelcomeTwoHeck,Wolfslayer61,,,http://www.speedrun.com/bo3zombies/run/m721xnwz,verified
Call of Duty: Black Ops III Zombies,,Shi No Numa,r8ro6x28=4lxegd41; 2lg396np=0q56pm1p; onvmywnm=klrj942q,PC,1m 42.750s,https://www.twitch.tv/videos/1521424815,,co-op,2022-07-03,2,Wolfslayer61,Maxinator_112,,,http://www.speedrun.com/bo3zombies/run/y9vpd2nm,verified
Call of Duty: Black Ops III Zombies,,Shi No Numa,r8ro6x28=814794v1; 2lg396np=0q56pm1p; onvmywnm=klrj942q,PC,1m 46.100s,https://www.twitch.tv/videos/1521433946,,co-op,2022-07-03,2,Wolfslayer61,Maxinator_112,,,http://www.speedrun.com/bo3zombies/run/y4qjl3km,verified
Call of Duty: Black Ops III Zombies,,Shadows of Evil,0nwkydkn=z198x88q; 2lg396np=0q56pm1p; wlewprl6=814kpgjl,PC,1m 22.300s,https://www.twitch.tv/videos/1495251268,,co-op,2022-06-05,2,Wolfslayer61,WelcomeTwoHeck,,,http://www.speedrun.com/bo3zombies/run/z1pgvojz,verified
Call of Duty: Black Ops III Zombies,,Moon,gnxrqmpn=mlnzekjl; 2lg396np=0q56pm1p; 2lg7k6lp=gq7282n1,PC,24m 4.200s,https://www.twitch.tv/videos/1488394944,,co-op,2022-05-19,2,Wolfslayer61,WelcomeTwoHeck,,,http://www.speedrun.com/bo3zombies/run/zx7og9gy,verified
Call of Duty: Black Ops III Zombies,,Moon,gnxrqmpn=810w692q; 2lg396np=4lxz9212; 2lg7k6lp=gq7282n1,PC,22m 0.200s,https://www.twitch.tv/videos/1476211685,,co-op,2022-05-05,3,PizzaHydra,Wolfslayer61,Lilleman,,http://www.speedrun.com/bo3zombies/run/zgpvoenz,verified
Call of Duty: Black Ops III Zombies,,Moon,gnxrqmpn=810w692q; 2lg396np=814jp01d; 2lg7k6lp=gq7282n1,PC,21m 23.760s,https://www.twitch.tv/videos/1473444109,,co-op,2022-05-02,4,PizzaHydra,Wolfslayer61,Lilleman,MEGAAMANNN,http://www.speedrun.com/bo3zombies/run/me36679z,verified
Call of Duty: Black Ops III Zombies,,Shi No Numa,r8ro6x28=4lxegd41; 2lg396np=0q56pm1p; onvmywnm=klrj942q,PC,1m 55.310s,https://www.twitch.tv/videos/1473734686,,co-op,2022-05-02,2,PizzaHydra,Wolfslayer61,,,http://www.speedrun.com/bo3zombies/run/y60r62py,verified
Call of Duty: Black Ops III Zombies,,Nacht Der Untoten,p853w00n=0135x4xq; 2lg396np=0q56pm1p; 2lg7e6lp=jq6yzrn1,PC,15m 26.450s,https://www.twitch.tv/videos/1457509074,,co-op,2022-04-16,2,PizzaHydra,Wolfslayer61,,,http://www.speedrun.com/bo3zombies/run/y889vp1y,verified
Call of Duty: Black Ops III Zombies,,Nacht Der Untoten,p853w00n=0135x4xq; 2lg396np=0q56pm1p; 2lg7e6lp=21ge5dml,PC,58.250s,https://www.twitch.tv/videos/1457540901,,co-op,2022-04-16,2,PizzaHydra,Wolfslayer61,,,http://www.speedrun.com/bo3zombies/run/m33on4dm,verified
Call of Duty: Black Ops III Zombies,,Moon,gnxrqmpn=mlnzekjl; 2lg396np=0q56pm1p; 2lg7k6lp=klrj9pjq,PC,1m 27.050s,https://www.twitch.tv/videos/1458383336,,co-op,2022-04-16,2,PizzaHydra,Wolfslayer61,,,http://www.speedrun.com/bo3zombies/run/y9v2x1rm,verified
Call of Duty: Black Ops III Zombies,,Moon,gnxrqmpn=4qyj782q; 2lg396np=0q56pm1p; 2lg7k6lp=klrj9pjq,PC,1m 37.000s,https://www.twitch.tv/videos/1458383337,,co-op,2022-04-16,2,PizzaHydra,Wolfslayer61,,,http://www.speedrun.com/bo3zombies/run/mkk9d7lm,verified
Call of Duty: Black Ops III Zombies,,Moon,gnxrqmpn=810w692q; 2lg396np=0q56pm1p; 2lg7k6lp=klrj9pjq,PC,50.820s,https://www.twitch.tv/videos/1458388445,,co-op,2022-04-16,2,PizzaHydra,Wolfslayer61,,,http://www.speedrun.com/bo3zombies/run/y2pqev7z,verified
Call of Duty: Black Ops III Zombies,,The Giant,2lggkx3l=p12x9x4l; 2lg396np=0q56pm1p; 6njz75l4=jqzdk2lp,PC,7m 41.400s,https://www.twitch.tv/videos/1458388447,,co-op,2022-04-16,2,PizzaHydra,Wolfslayer61,,,http://www.speedrun.com/bo3zombies/run/y889xvxy,verified
Call of Duty: Black Ops III Zombies,,The Giant,2lggkx3l=xqkmomkl; 2lg396np=5leo55qo; 6njz75l4=5lm8wnjq,PC,2m 35.900s,https://www.twitch.tv/videos/1457129901,,solo,2022-04-15,1,Wolfslayer61,,,,http://www.speedrun.com/bo3zombies/run/z0p39l4y,verified
Call of Duty: Black Ops III Zombies,,Der Eisendrache,wl33v49l=jqzxgx81; 2lg396np=5leo55qo; 38dw04n0=81wer8o1,PC,2m 21.900s,https://www.twitch.tv/videos/1457256760,,solo,2022-04-15,1,Wolfslayer61,,,,http://www.speedrun.com/bo3zombies/run/y60pro1y,verified
Call of Duty: Black Ops III Zombies,,Gorod Krovi,68kdwxyl=810w6w2q; 2lg396np=5leo55qo; ylqx7m8r=013w4rdq,PC,2m 26.900s,https://www.twitch.tv/videos/1457258609,,solo,2022-04-15,1,Wolfslayer61,,,,http://www.speedrun.com/bo3zombies/run/znp43x3m,verified
Call of Duty: Black Ops III Zombies,,Revelations,rn14k6kn=5lmg2gml; 2lg396np=5leo55qo; gnx65jnv=rqv6zd7l,PC,2m 24.900s,https://www.twitch.tv/videos/1457290942,,solo,2022-04-15,1,Wolfslayer61,,,,http://www.speedrun.com/bo3zombies/run/m76p5oey,verified
Call of Duty: Black Ops III Zombies,,Nacht Der Untoten,p853w00n=0135x4xq; 2lg396np=5leo55qo; 2lg7e6lp=5le3v85q,PC,2m 29.490s,https://www.youtube.com/watch?v=GxYiedUgpkg&t=8s,,solo,2022-04-14,1,Wolfslayer61,,,,http://www.speedrun.com/bo3zombies/run/y2p3lp9z,verified
Call of Duty: Black Ops III Zombies,,Origins,dlo3exdl=5lmg2wml; 2lg396np=4lxz9212; ylp4gjlg=4qy707dq,PC,3m 29.270s,https://www.twitch.tv/videos/1444959543,,co-op,2022-04-03,3,PizzaHydra,Wolfslayer61,MEGAAMANNN,,http://www.speedrun.com/bo3zombies/run/mr7j884z,verified
Call of Duty: Black Ops III Zombies,,Zetsubou No Shima,wlex34k8=5q8d4d3l; 2lg396np=4lxz9212; p85pd5lg=zqov8p1y,PC,3m 8.600s,https://www.twitch.tv/videos/1444959546,,co-op,2022-04-03,3,PizzaHydra,Wolfslayer61,MEGAAMANNN,,http://www.speedrun.com/bo3zombies/run/yjpj447y,verified
Call of Duty: Black Ops III Zombies,,Shi No Numa,r8ro6x28=z198xd8q; 2lg396np=4lxz9212; onvmywnm=klrj942q,PC,32.500s,https://www.twitch.tv/videos/1444959547,,co-op,2022-04-03,3,PizzaHydra,Wolfslayer61,MEGAAMANNN,,http://www.speedrun.com/bo3zombies/run/zgp3770z,verified
Call of Duty: Black Ops III Zombies,,Shi No Numa,r8ro6x28=814794v1; 2lg396np=4lxz9212; onvmywnm=klrj942q,PC,1m 22.850s,https://www.twitch.tv/videos/1444959552,,co-op,2022-04-03,3,PizzaHydra,Wolfslayer61,MEGAAMANNN,,http://www.speedrun.com/bo3zombies/run/zp9n04nm,verified
Call of Duty: Black Ops III Zombies,,Shi No Numa,r8ro6x28=4lxegd41; 2lg396np=0q56pm1p; onvmywnm=klrj942q,PC,2m 31.850s,https://www.twitch.tv/videos/1444959551,,co-op,2022-04-02,2,PizzaHydra,Wolfslayer61,,,http://www.speedrun.com/bo3zombies/run/yopv221m,verified
Call of Duty: Black Ops III Zombies,,Moon,gnxrqmpn=810w692q; 2lg396np=4lxz9212; 2lg7k6lp=gq7282n1,PC,22m 22.000s,https://www.twitch.tv/videos/1444959545,,co-op,2022-04-02,3,PizzaHydra,Wolfslayer61,MEGAAMANNN,,http://www.speedrun.com/bo3zombies/run/me3v8o8z,verified
Call of Duty: Black Ops III Zombies,,Shadows of Evil,0nwkydkn=5lemnmk1; 2lg396np=5leo55qo; wlewprl6=21dv3g31,PC,12m 59.650s,https://www.twitch.tv/videos/1439121447,,solo,2022-03-28,1,Wolfslayer61,,,,http://www.speedrun.com/bo3zombies/run/yjxn40oz,verified
Call of Duty: Black Ops III Zombies,,The Giant,2lggkx3l=xqkmomkl; 2lg396np=5leo55qo; 6njz75l4=5q82d8rq,PC,13m 7.500s,https://www.twitch.tv/videos/1439121447,,solo,2022-03-28,1,Wolfslayer61,,,,http://www.speedrun.com/bo3zombies/run/zgd475jz,verified
Call of Duty: Black Ops III Zombies,,Der Eisendrache,wl33v49l=jqzxgx81; 2lg396np=5leo55qo; 38dw04n0=4qy5jo31,PC,12m 13.650s,https://www.twitch.tv/videos/1439121447,,solo,2022-03-28,1,Wolfslayer61,,,,http://www.speedrun.com/bo3zombies/run/y9l42rry,verified
Call of Duty: Black Ops III Zombies,,Gorod Krovi,68kdwxyl=810w6w2q; 2lg396np=5leo55qo; ylqx7m8r=8100wjj1,PC,13m 15.100s,https://www.twitch.tv/videos/1439121447,,solo,2022-03-28,1,Wolfslayer61,,,,http://www.speedrun.com/bo3zombies/run/m7wrpr9z,verified
Call of Duty: Black Ops III Zombies,,Revelations,rn14k6kn=5lmg2gml; 2lg396np=5leo55qo; gnx65jnv=9qjwxn01,PC,12m 12.800s,https://www.twitch.tv/videos/1439121447,,solo,2022-03-28,1,Wolfslayer61,,,,http://www.speedrun.com/bo3zombies/run/y48p3p2m,verified
Call of Duty: Black Ops III Zombies,,Nacht Der Untoten,p853w00n=0135x4xq; 2lg396np=5leo55qo; 2lg7e6lp=jq6yzrn1,PC,15m 45.050s,https://www.twitch.tv/videos/1439121447,,solo,2022-03-28,1,Wolfslayer61,,,,http://www.speedrun.com/bo3zombies/run/yvqwjw8m,verified
Call of Duty: Black Ops III Zombies,,Verruckt,38djgk18=0q5g472l; 2lg396np=5leo55qo; ql659jn9=5lm8g6yq,PC,13m 9.950s,https://www.twitch.tv/videos/1439121447,,solo,2022-03-28,1,Wolfslayer61,,,,http://www.speedrun.com/bo3zombies/run/yleg4gxz,verified
Call of Duty: Black Ops III Zombies,,Shi No Numa,r8ro6x28=z198xd8q; 2lg396np=5leo55qo; onvmywnm=81we5o91,PC,12m 38.900s,https://www.twitch.tv/videos/1439121447,,solo,2022-03-28,1,Wolfslayer61,,,,http://www.speedrun.com/bo3zombies/run/zgd474jz,verified
Call of Duty: Black Ops III Zombies,,Kino Der Toten,5ly7ydkl=xqkmo6kl; 2lg396np=5leo55qo; jlzz6xl2=zqomrog1,PC,12m 3.050s,https://www.twitch.tv/videos/1439121447,,solo,2022-03-28,1,Wolfslayer61,,,,http://www.speedrun.com/bo3zombies/run/yor1215y,verified
Call of Duty: Black Ops III Zombies,,Ascension,e8mmgxv8=jqzxgy81; 2lg396np=5leo55qo; ylp4kjlg=013w57kq,PC,13m 27.450s,https://www.twitch.tv/videos/1439121447,,solo,2022-03-28,1,Wolfslayer61,,,,http://www.speedrun.com/bo3zombies/run/ydwk3kxm,verified
Call of Duty: Black Ops III Zombies,,Shangri-La,ylqk4dzl=5q8d4r3l; 2lg396np=5leo55qo; 789ye5nw=rqv6eo5l,PC,13m 55.100s,https://www.twitch.tv/videos/1439121447,,solo,2022-03-28,1,Wolfslayer61,,,,http://www.speedrun.com/bo3zombies/run/y9l424ry,verified
Call of Duty: Black Ops III Zombies,,Moon,gnxrqmpn=810w692q; 2lg396np=4lxz9212; 2lg7k6lp=gq7282n1,PC,30m 40.000s,https://www.twitch.tv/videos/1437065621,,co-op,2022-03-26,3,PizzaHydra,Wolfslayer61,MEGAAMANNN,,http://www.speedrun.com/bo3zombies/run/m36pwjgm,verified
Call of Duty: Black Ops III Zombies,,Moon,gnxrqmpn=4qyj782q; 2lg396np=0q56pm1p; 2lg7k6lp=81p46ng1,PC,2m 58.680s,https://www.twitch.tv/videos/1423753487,,co-op,2022-03-12,2,Wolfslayer61,vRifty,,,http://www.speedrun.com/bo3zombies/run/z5vn2r5m,verified
Call of Duty: Black Ops III Zombies,,Origins,dlo3exdl=jq6zvgjl; 2lg396np=0q56pm1p; ylp4gjlg=0q5xgzr1,PC,13m 48.870s,https://www.twitch.tv/videos/1298190169,,co-op,2022-02-14,2,Wolfslayer61,valley172,,,http://www.speedrun.com/bo3zombies/run/y6nvvr1z,verified
