"CREDITS: Skrine, Scrappy, Freckleston",,,,,,,,,,,,This section tells you what rounds are insta-kill rounds for the elemental zombies as well as water-infused zombies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLICK HERE TO VIEW ALL AVAILABLE INFO AND IT'S LOCATION,,,,,,,,,,,,,,,,,,,,,,,,,Easter Egg Cheat Sheet ,,,,,,,,,,,Box percentages and rarities,,,,,,,,
,This section is perfect round times based on player count (spawn rate boost is not included here),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BO4,>>This is assuming you never get spawn rate boost<<,,,,,,Best possible total time (no dogs),,,,,FALSE,not insta,,,,not as good of notes were taken on instas due to inconsistencies ,,,,,,,,Please copy and paste into your own spreadsheet and input your own values to help track for your egg run!,,,,,,,,,,,,,,,,,,,
Round,Solo,Duo,Trio,Quad,,Round,Solo,Duo,Trio,Quad,,TRUE,insta,,,,"if the zombie is insta before becoming catalyst, it seems to always be insta as a catalyst ",,,,,,,,,Alpha Omega,,,,,,,,,,Tier = % chance | Tier 0 = 8% | Tier 1 = 10% | Tier 2 = 10% | Tier 3 = 15% | Tier 4 = 24% | Tier 5 = 17% | Tier 6 = 15% | Tier 7 = 11%,,,,,,,,
1,7.1,7.05,9.1,9.15,,1,7.1,7.05,9.1,9.15,,infused,means insta if infused before becoming a catalyst,,,,so i left the infused ones blank for those rounds,,,,,,,1,2,3,4,5,6,,,,,,,Voyage of Despair,,,IX,,,Blood of the Dead,,
2,24.45,23.5,21.5,22.5,,2,31.55,30.55,30.6,31.65,,create ,means water catalyst makes zombies insta ,,,,otherwise if blank then unsure ,,,,,,,D 7:45,A 11:00,E 2:15,E 10:45,C 6:45,F 9:30,,,,,,,Weapon Name,Weapon Tier,Weapon Index,Weapon Name,Weapon Tier,Weapon Index,Weapon Name,Weapon Tier,Weapon Index
3,31.55,30.5,27.5,26.5,,3,1:03.10,1:01.05,58.1,58.15,,,,,,,there may be some other inconsistencies usually with infused ,,,,,,,C 6:15,F 5:30,A 2:45,B 6:00,D 5:15,C10:15,,,,,,,Homonculus,0,7,Homonculus,0,3,Blundergat,0,4
4,41.5,38.5,33.5,32.5,,4,1:44.60,1:39.55,1:31.60,1:30.65,,,,,,,,,,,,,,F 1:15,D 3:45,C 12:00,F 11:45,A 12:00,D 8:15,,,,,,,Kraken,0,4,Scorpion,0,1,Mark II,0,5
5,48.5,44.5,37.5,33.5,,5,2:33.10,2:24.05,2:09.10,2:04.15,,,insta,water,,,napalm,,electric,,poison,,,A 2:30,E 9:45,B 10:15,D 8:30,F 8:30,E11:30,,,,,,,Essex,1,33,Essex,1,29,Monkeys,0,10
6,52.5,49.5,40.45,39.5,,6,3:25.60,3:13.55,2:49.55,2:43.65,,,,not infused ,infused,creates insta,not infused ,infused,not infused ,infused,not infused ,infused,,E 3:00,C 4:00,D 9:00,C 12:15,B 3:00,B 4:45,Brain Rot codes,ON,OFF,,,,Escargot,2,40,Escargot,2,36,Ray Gun,0,6
7,52.5,48.5,41.5,38.5,,7,4:18.10,4:02.05,3:31.05,3:22.15,,152,TRUE,TRUE,,TRUE,TRUE,,FALSE,,FALSE,,,B - Blank ,B - Blank,F - Blank,A - Blank,E - Blank,A - Blank,Lounge:,Diner,Lounge,,,,MOG,2,44,MOG,2,40,Tommy Gun,0,7
8,51.5,47.45,42.55,41.5,,8,5:09.60,4:49.50,4:13.60,4:03.65,,153,FALSE,FALSE,,TRUE,TRUE,,FALSE,,FALSE,,,Rushmore Codes: Points = 2265 | Bon Fire = 7225 | Nuke = 6853,,,,,,Beds:,Beds,Solitary,,,,RK7,2,48,RK7,2,44,Essex,1,41
9,50.5,46.55,41.5,39.5,,9,6:00.10,5:36.05,4:55.10,4:43.15,,154,FALSE,FALSE,,TRUE,TRUE,,FALSE,,FALSE,,,Rushmore,Sawyer (APD int),Mccain (APD control),Pernnel (House Desk), ,,House:,Generators,Storage,,,,Ballistic Knife,3,21,Ballistic Knife,3,17,Escargot,2,48
10,55.45,53.5,51.5,50.5,,10,6:55.55,6:29.55,5:46.60,5:33.65,,155,FALSE,FALSE,,TRUE,TRUE,,FALSE,,FALSE,,,ALWAYS 7626,,,,,,,,,,,,Kap45,3,27,Kap45,3,23,MOG,2,52
11,52.55,53.5,51.5,52.5,,11,7:48.10,7:23.05,6:38.10,6:26.15,,156,FALSE,TRUE,,,TRUE,,FALSE,,TRUE,,,,,,,,,,,,,,,Mozu,3,47,Mozu,3,43,RK7,2,56
12,54.45,57.5,56.5,56.5,,12,8:42.55,8:20.55,7:34.60,7:22.65,,157,FALSE,TRUE,,,TRUE,,FALSE,,TRUE,,,,,Dead of the Night,,,,,,,,,,Spitfire,3,43,Spitfire,3,39,Ballistic Knife,3,29
13,55.55,59.5,57.5,59.5,,13,9:38.10,9:20.05,8:32.10,8:22.15,,158,FALSE,TRUE,,TRUE,TRUE,,FALSE,,TRUE,,,Free Alistars,Red: ,Yellow: ,Green: ,Blue: ,,Parts,Locations,,,,,Switchblade,3,24,Switchblade,3,20,Kap45,3,35
14,56.5,1:01.50,1:02.50,1:01.50,,14,10:34.60,10:21.55,9:34.60,9:23.65,,159,FALSE,TRUE,,,FALSE,,TRUE,,TRUE,,,Scratches (Never even | From 7 to 15),,,,,,Silver Plate,"Cellar table, Cellar wall, Cellar barrell",,,,,Swordfish,3,31,Swordfish,3,27,Mozu,3,55
15,57.5,1:02.50,1:03.50,1:04.50,,15,11:32.10,11:24.05,10:38.10,10:28.15,,160,FALSE,TRUE,,,FALSE,,TRUE,,TRUE,,,,Symbol:,Symbol:,Symbol:,,,Silver Vase,"Dining table, Dining nightstand, Library hall",,,,,Argus,4,16,Argus,4,12,Spitfire,3,51
16,58.5,1:03.50,1:08.50,1:13.50,,16,12:30.60,12:27.55,11:46.60,11:41.65,,161,FALSE,TRUE,,,TRUE,,TRUE,,TRUE,,,,Scatch #: ,Scratch #: ,Scratch #: ,,,Silver Candles,"Danu table, Billiards floor, main hall table",,,,,Cordite,4,41,Cordite,4,37,Switchblade,3,32
17,58.5,1:07.50,1:07.50,1:08.45,,17,13:29.10,13:35.05,12:54.10,12:50.10,,162,FALSE,TRUE,,,FALSE,,TRUE,,TRUE,,,,,,,,,Sulfur,"Lab left table, lab right table, build table",,,,,Daemon,4,26,Daemon,4,22,Swordfish,3,39
18,59.5,1:08.50,1:13.45,1:16.55,,18,14:28.60,14:43.55,14:07.55,14:06.65,,163,TRUE,,,,,,,,,,,,,,,,,Charcoal,"Master fireplace, main fireplace, library fireplace",,,,,Hellion,4,55,Hellion,4,51,Argus,4,24
19,1:00.50,1:07.50,1:17.55,1:20.50,,19,15:29.10,15:51.05,15:25.10,15:27.15,,164,TRUE,,,,,,,,,,,,,,,,,Poop,"Stake knife coffin, Mausoleum tree, Cemetary path",,,,,Maddox,4,60,Maddox,4,56,Cordite,4,49
20,1:02.50,1:13.50,1:16.50,1:30.50,,20,16:31.60,17:04.55,16:41.60,16:57.65,,165,TRUE,,,,,,,,,,,,,,,,,,,,,,,Rampage,4,23,Rampage,4,19,Daemon,4,34
21,1:01.50,1:12.50,1:20.50,1:22.50,,21,17:33.10,18:17.05,18:02.10,18:20.15,,166,TRUE,,,,,,,,,,,,,,,,,,,,,,,Vapr,4,58,Vapr,4,54,Hellion,4,63
22,1:02.50,1:17.50,1:27.50,1:30.45,,22,18:35.60,19:34.55,19:29.60,19:50.60,,167,TRUE,,,,,,,,,,,,,,,,,,,,,,,VMP,4,11,VMP,4,7,Maddox,4,68
23,1:01.50,1:15.50,1:22.50,1:33.55,,23,19:37.10,20:50.05,20:52.10,21:24.15,,168,TRUE,,,,,,,,,,,,,,,,,,,,,,,ABR,5,30,ABR,5,26,Rampage,4,31
24,1:04.50,1:19.50,1:28.50,1:43.45,,24,20:41.60,22:09.55,22:20.60,23:07.60,,169,TRUE,,,,,,,,,,,,,,,,,,,,,,,Grav,5,29,Grav,5,25,Vapr,4,66
25,1:03.50,1:17.50,1:33.50,1:33.55,,25,21:45.10,23:27.05,23:54.10,24:41.15,,170,FALSE,FALSE,,,FALSE,,FALSE,,FALSE,,,,,,,,,,,,,,,Havelina,5,13,Havelina,5,9,VMP,4,19
26,1:06.50,1:22.50,1:26.45,1:38.50,,26,22:51.60,24:49.55,25:20.55,26:19.65,,171,FALSE,FALSE,,,FALSE,,FALSE,,FALSE,,,,,,,,,,,,,,,Hitchcock,5,56,Hitchcock,5,52,ABR,5,38
27,1:04.50,1:19.50,1:31.50,1:44.50,,27,23:56.10,26:09.05,26:52.05,28:04.15,,172,FALSE,FALSE,,TRUE,TRUE,,FALSE,,FALSE,,,,,,,,,,,,,,,M16,5,14,M16,5,10,Grav,5,37
28,1:03.50,1:24.50,1:36.55,1:50.50,,28,24:59.60,27:33.55,28:28.60,29:54.65,,173,FALSE,TRUE,,,FALSE,,TRUE,,TRUE,,,,,,,,,,,,,,,MP40,5,25,MP40,5,21,Havelina,5,21
29,1:05.50,1:27.50,1:40.50,1:57.50,,29,26:05.10,29:01.05,30:09.10,31:52.15,,174,FALSE,TRUE,,,FALSE,,TRUE,,TRUE,,,,,,,,,,,,,,,Peacekeeper,5,20,Peacekeeper,5,16,Hitchcock,5,64
30,1:08.45,1:24.50,1:47.55,2:03.60,,,,,,,,175,TRUE,,,,,,,,,,,,,,,,,,,,,,,Rampart,5,59,Rampart,5,55,M16,5,22
31,1:05.60,1:28.50,1:33.50,1:41.45,,,,,,,,0:00,TRUE,,,,,,,,,,,,,,,,,,,,,,,SDM,5,36,SDM,5,32,MP40,5,33
32,1:08.40,1:32.50,1:37.45,1:47.45,,,,,,,,0:00,TRUE,,,,,,,,,,,,,,,,,,,,,,,SG12,5,46,SG12,5,42,Peacekeeper,5,28
33,1:05.50,1:25.50,1:43.50,1:52.65,,,,,,,,0:00,FALSE,FALSE,,TRUE,TRUE,,FALSE,,FALSE,,,,,,,,,,,,,,,Swat,5,28,Swat,5,24,Rampart,5,67
34,1:08.55,1:29.50,1:47.50,1:58.30,,,,,,,,0:00,FALSE,TRUE,,,FALSE,,TRUE,,FALSE,,,,,,,,,,,,,,,Vendetta,5,17,Vendetta,5,13,SDM,5,44
35,1:03.45,1:33.50,1:53.50,2:03.75,,,,,,,,0:00,TRUE,,,,,,,,,,,,,,,,,,,,,,,Echohawk,6,10,Echohawk,6,6,SG12,5,54
36,1:06.50,1:23.50,1:33.55,2:09.45,,,,,,,,0:00,TRUE,,,,,,,,,,,,,,,,,,,,,,,Hades,6,51,Hades,6,47,Swat,5,36
37,1:08.50,1:27.45,1:37.50,2:15.30,,,,,,,,0:00,FALSE,FALSE,,TRUE,TRUE,,FALSE,,FALSE,,,,,,,,,,,,,,,MicroMG,6,9,MicroMG,6,5,Vendetta,5,25
38,1:03.50,1:30.55,1:41.50,1:40.65,,,,,,,,0:00,TRUE,,,,,,,,,,,,,,Classified,,,,,,,,,Stingray,6,19,Stingray,6,15,Echohawk,6,18
39,1:05.50,1:33.50,1:45.45,1:45.65,,,,,,,,0:00,TRUE,,,,,,,,,,,,1 Picture,2 Desk Drawer,3 Basement,4 TV,,,,,,,,Tigershark,6,22,Tigershark,6,18,Hades,6,59
40,1:07.50,1:37.50,1:49.50,1:49.35,,,,,,,,0:00,FALSE,FALSE,,TRUE,TRUE,,FALSE,,FALSE,,,Loaction,,,,,,,,,,,,VKM,6,52,VKM,6,48,MicroMG,6,17
41,1:09.45,1:25.55,1:54.50,1:53.40,,,,,,,,0:00,TRUE,,,,,,,,,,,Number,,,,,,,,,,,,AN94,7,12,AN94,7,8,Stingray,6,27
