"CREDIT: Skrine, Valley172",,,Cold War EE Speedrunner Guide by Valley172,,,,,,,Outbreak Maps with Labels (for speedrunning)
CLICK HERE TO VIEW ALL AVAILABLE INFO AND IT'S LOCATION,,,,,,,,,,
,,,,,,,,,,Hollow red circles are the possible spawn locations
Turn off rampage (NOT TESTED),,,,,,,,,,
4p = 16,,Firebase Z EE time save's,,,,,,,,
3p = 19,,Quotes,Weaver,Peck,Times,,Ravenov,Times,,
2p = 24,,A1,No more games,Well,31s,A2,Fucking coward,8s,,
1p = 30,,B1,Did as you asked,Wheres maxis?,35s,B2,Fucking dog,10s,,
,,C1,Had your Fun,Heres the thing,40s,C2,Fucking suka,10s,,
,,,,,,,,,,
,,Ideal Combos,,Trials,,Worst possible,,,,
,,A1+A2,39s,Bad:,Good:,C1 + B2 ,50s,*+11 from A1+A2,,
,,A1+B2,41s,Hip Fire,Multi,C1 + C2,50s,,,
,,A1+C2,41s,Crouched,Melee,,,,,
,,B1+A2,43s,All Remain Trials,Equipment,Kills needed prior to starting Gens 1/2,,,,
,,B1+B2,45s,,Close Range,,Rnd 4 Spd Gen,Rnd 5 Jug Gen,,
,,B1+C2,45s,,,Solo,6 kills,0 kills,,
,,,,,,2p,3 kills,8 kills,,
,,,,,,3p,3 kills,12 kills,,
,,,,,,4p,6 kills,15 kills,,
